,Price to nearest 200,Neighbourhood,Latitude,Longitude
18335,800.0,Islands Brygge,55.663497762344576,12.580088345733342
18336,400.0,,55.63942524647194,12.586770371995756
18337,400.0,Amager Vest,55.667327336048345,12.597248071829428
18339,800.0,,55.66570897525758,12.576861009180837
18340,400.0,Amager Vest,55.66615486327406,12.597556975172957
18341,600.0,Amager Vest,55.662344075059735,12.597580671649242
18342,1000.0,Amager Vest,55.631639538833895,12.574453525344007
18343,800.0,Islands Brygge,55.65961471592409,12.569741452119295
18344,800.0,Amager Vest,55.667237952426774,12.59645311982383
18345,1000.0,Amager Vest,55.641189199089325,12.604612480164544
18346,800.0,Islands Brygge,55.665453951185434,12.574948047982636
18347,600.0,Islands Brygge,55.66501988304036,12.581453275977974
18350,400.0,Frederiksberg,55.67967759421311,12.546361130320275
18352,400.0,Frederiksberg,55.68586644178765,12.535182258707428
18354,600.0,Frederiksberg,55.67913033635252,12.499026605401173
18355,200.0,,55.69230488181999,12.534201115029646
18356,400.0,,55.66802027106984,12.522435598009984
18358,200.0,,55.71187848903689,12.556324571309831
18359,400.0,Østerbro,55.706626265931284,12.576541580256176
18362,800.0,Østerbro,55.6981226353717,12.574774575658813
18365,600.0,,55.702986143071406,12.586275469415991
18366,600.0,,55.70172793923828,12.587979687435164
18369,600.0,Østerbro,55.701061771509636,12.589247263307893
18370,400.0,,55.72879345775648,12.563687073582075
18371,600.0,Østerbro,55.6978909822894,12.581638459460548
18372,600.0,,55.70838458936222,12.56155014409198
18373,800.0,Østerbro,55.69806791156993,12.576168063381353
18377,400.0,,55.711346309985046,12.561305086235054
18378,400.0,,55.70599754809698,12.577880194645465
18379,600.0,Østerbro,55.69622642580878,12.571185403411658
18384,1000.0,,55.698789306968976,12.585830970876234
18385,600.0,,55.708452237056726,12.564030827998161
18388,400.0,Østerbro,55.69885675402021,12.58332349407696
18390,800.0,Østerbro,55.70815050792946,12.558136060480528
18391,400.0,,55.70393862725418,12.584699290158909
18397,400.0,Nørrebro,55.692731384966926,12.556647380676038
18398,400.0,Nørrebro,55.69487131628452,12.550036258543008
18399,800.0,Nørrebro,55.69295888634822,12.561279352977516
18400,1000.0,Nørrebro,55.6928157324548,12.566914413375885
18402,200.0,Nørrebro,55.69401532508808,12.542103237732187
18404,600.0,,55.69504408542385,12.546046841143575
18405,400.0,,55.6901796327202,12.556193166377756
18406,400.0,Nørrebro,55.69500289707214,12.546408238204615
18407,800.0,Nørrebro,55.69044776662128,12.562170010751245
18409,800.0,Nørrebro,55.69024801626954,12.543904938057064
18410,400.0,Nørrebro,55.68628287019821,12.547207641344295
18411,600.0,Nørrebro,55.697556916825675,12.549629939152393
18412,800.0,Nørrebro,55.694180529987705,12.543008694822733
18416,400.0,Vesterbro,55.647149610211144,12.524036432775473
18417,200.0,Vesterbro,55.66997595302208,12.541828555027655
18418,800.0,,55.67016017599611,12.56181706484185
18420,400.0,Vesterbro,55.67086393304879,12.545889556777196
18421,800.0,Vesterbro,55.66187475998,12.558795204952526
18422,400.0,Vesterbro,55.671009003099385,12.544238762665241
18423,200.0,,55.65100500182701,12.547753689019814
18430,200.0,Amager Vest,55.66503618412068,12.597653354269323
18431,200.0,Amager Vest,55.667543360543,12.596772674027905
18432,600.0,,55.644427008263776,12.589110340930073
18435,400.0,Amager Vest,55.666546780999155,12.59720576973435
18436,600.0,Amager Vest,55.61817147342266,12.57091854442418
18437,1000.0,Islands Brygge,55.66339093906585,12.581273306498652
18438,600.0,Amager Vest,55.665459615815365,12.59751649296432
18439,600.0,,55.666051422437896,12.578541667201312
18440,400.0,Amager Vest,55.616451268858654,12.569328420644686
18441,400.0,Islands Brygge,55.660793379746714,12.569797794395447
18442,400.0,Frederiksberg,55.68581299744061,12.506235343030136
18444,800.0,Frederiksberg,55.67540289243614,12.548225451036522
18445,400.0,Frederiksberg,55.68544223326122,12.529146279970233
18446,800.0,,55.68389561709883,12.5315654184707
18447,200.0,,55.68663394528152,12.531496779584053
18451,800.0,Frederiksberg,55.6899759524059,12.529218127368116
18454,400.0,Frederiksberg,55.67555872806098,12.546452267378495
18457,600.0,Frederiksberg,55.674512308817604,12.550180506737632
18460,800.0,Frederiksberg,55.686003388677214,12.53348762481943
18461,400.0,Frederiksberg,55.672783294490614,12.540188703847726
18462,200.0,Brønshøj,55.71073775267534,12.474414676372964
18464,400.0,Brønshøj,55.70533782557036,12.504510248135695
18465,600.0,,55.67682253491864,12.546443672038613
18466,800.0,Frederiksberg,55.67878256937981,12.506217375357044
18467,600.0,Frederiksberg,55.680100845442716,12.550872840994414
18470,600.0,,55.70834687899554,12.598517631866649
18471,200.0,Brønshøj,55.70360827117986,12.512719293635644
18472,800.0,Østerbro,55.70960820956639,12.556868342241616
18474,200.0,Brønshøj,55.7065877508216,12.492087179640505
18476,800.0,Østerbro,55.70589570194983,12.578620500845012
18480,600.0,Indre By,55.68036817380104,12.57807455253943
18481,800.0,Christianshavn,55.67370512102284,12.593172093359073
18482,600.0,Indre By,55.68281887801754,12.569014216396143
18483,600.0,,55.67895831693675,12.568667429130732
18484,1000.0,Indre By,55.696786221381814,12.58514870091074
18488,600.0,Nørrebro,55.687103422104684,12.560712513019574
18490,1000.0,Nørrebro,55.69147377081688,12.564731779352874
18491,400.0,Nørrebro,55.69174272881259,12.544549317182332
18492,200.0,Nørrebro,55.690544336240364,12.554834344060016
18493,400.0,Nørrebro,55.705871536739046,12.555347921318033
18494,400.0,,55.69301278471188,12.546323500501066
18496,400.0,,55.68430549961929,12.555507158161454
18497,400.0,Nørrebro,55.687870874405135,12.55562688529356
18498,400.0,Nørrebro,55.69961331984994,12.546119175662506
18499,600.0,,55.68795528973043,12.554719800566005
18500,800.0,Nørrebro,55.70100544702964,12.540159270718119
18501,1000.0,,55.68840458884417,12.555394828267133
18502,200.0,,55.69826988968935,12.556885266321585
18504,600.0,Nørrebro,55.688386326518575,12.553666571401598
18505,800.0,København NV,55.70397819343397,12.523282753010536
18507,600.0,København NV,55.719012243943396,12.559201449418616
18511,400.0,,55.706001213919926,12.524813458821663
18514,800.0,Vesterbro,55.67305815688202,12.547621042786155
18515,400.0,Vesterbro,55.67317108402545,12.563358948805304
18516,200.0,Vesterbro,55.66914809985847,12.556022357533314
18517,600.0,Vesterbro,55.649049297046425,12.527616864533265
18518,1000.0,Vesterbro,55.6690107419485,12.544178815629492
18521,400.0,Vesterbro,55.66663686137355,12.538780707204285
18522,800.0,Vesterbro,55.66538466382855,12.55531185477874
18523,200.0,Vesterbro,55.65987032818357,12.55969786446708
18524,600.0,Vesterbro,55.67004011835953,12.545225560739192
18525,400.0,Vesterbro,55.667918003983495,12.547841462096972
18526,600.0,Vesterbro,55.667196931541284,12.557002551445027
18527,800.0,Vesterbro,55.66722722389782,12.553186733212184
18529,1000.0,,55.66963131690464,12.553720320693635
18530,400.0,Teglholmen,55.65157579252508,12.55637539090322
18531,400.0,Vesterbro,55.67052719924092,12.546101654394464
18532,600.0,Amagerbro,55.66367124471663,12.61613552306431
18533,400.0,Amagerbro,55.661820874939174,12.611746078747716
18534,400.0,Amagerbro,55.6629173572021,12.610495893840726
18535,600.0,,55.64469258783866,12.620799216968356
18536,400.0,Amagerbro,55.666272330969754,12.617328985770936
18537,400.0,Amager Øst,55.64518609628704,12.617462571129868
18540,600.0,,55.667993265851536,12.597691036634163
18541,400.0,Vanløse,55.68648168073751,12.475601921542575
18542,800.0,Vanløse,55.69129648848043,12.466991238906571
18544,400.0,Vanløse,55.683587261865156,12.487374074183581
18546,400.0,Vanløse,55.68940418200643,12.489569988946846
18547,400.0,Vanløse,55.692036555820856,12.503924573469154
18548,800.0,,55.68655473083247,12.488226224173564
18549,600.0,,55.69214684471065,12.513197405329
18551,800.0,Vanløse,55.692767313901435,12.514600016009984
18552,800.0,,55.69496870313246,12.521865356716964
18555,800.0,Frederiksberg,55.671299092769566,12.537214764489105
18556,600.0,,55.68904376293519,12.531885994926025
18559,1000.0,,55.68292778590576,12.5335987561131
18560,600.0,,55.68385937630707,12.532906675135507
18565,400.0,Østerbro,55.70427355441633,12.585835487764133
18566,400.0,Østerbro,55.70814443856365,12.556793130570801
18568,400.0,Østerbro,55.70508817971704,12.580024848288145
18570,800.0,Amager Vest,55.659895807735616,12.602971685559707
18571,600.0,,55.66457150373836,12.582553940472614
18572,600.0,Islands Brygge,55.66463711673699,12.577683521430314
18576,600.0,,55.66332831812289,12.598686460011857
18580,600.0,Vesterbro,55.669483470858744,12.546075294977117
18582,800.0,Islands Brygge,55.66633876777093,12.576561369320496
18583,200.0,Amager Vest,55.64913438136622,12.612694234664085
18585,800.0,Amager Vest,55.66650330217814,12.596296968631911
18586,800.0,Islands Brygge,55.66312644269272,12.58247256821085
18590,600.0,Amager Vest,55.666629676878756,12.594949985990008
18591,800.0,,55.63113385898654,12.57601733384468
18593,400.0,Islands Brygge,55.66480265053151,12.576921799210641
18594,1000.0,Islands Brygge,55.66399337835911,12.57576436921977
18598,600.0,Amagerbro,55.663793921743654,12.615260463091419
18599,600.0,Amagerbro,55.663369126444856,12.607388575800991
18600,200.0,Amagerbro,55.662343821640704,12.6073955451391
18601,200.0,Amagerbro,55.664107472923895,12.604951654399233
18602,600.0,,55.660098967707405,12.619428482508356
18604,200.0,Amagerbro,55.663673078290145,12.602890672156642
18605,600.0,Amager Øst,55.65364373355502,12.612029447657529
18606,600.0,,55.66332265984429,12.605289879716793
18608,800.0,Amagerbro,55.666953517354784,12.616040864436725
18609,800.0,Amagerbro,55.66217124679039,12.62100075277144
18611,200.0,Amager Øst,55.65279455001107,12.622383781325142
18612,1000.0,,55.6614515905678,12.625874462704887
18613,600.0,Amager Øst,55.65991639919549,12.614539416637983
18614,400.0,,55.652330474299966,12.615625791840522
18616,600.0,,55.71262190149422,12.56656615964734
18617,800.0,Østerbro,55.69744563248412,12.577124584967333
18620,400.0,Indre By,55.681306465980384,12.585816063198779
18621,400.0,Christianshavn,55.676118152933284,12.597667157020028
18622,1000.0,,55.67335376928651,12.593736931124887
18624,1000.0,,55.69125794226085,12.572155261403658
18625,400.0,Indre By,55.68636028703492,12.588496306885572
18626,1000.0,,55.68358083639686,12.573785028439715
18628,600.0,Christianshavn,55.66974703603621,12.590268332549524
18629,600.0,Indre By,55.69081146131594,12.57134329069776
18631,400.0,Indre By,55.681591484300185,12.563583884389539
18632,800.0,Christianshavn,55.674751049092635,12.59641027267032
18634,400.0,,55.689765101007254,12.567872277535436
18635,800.0,Indre By,55.67892414827514,12.585655375042537
18636,600.0,Christianshavn,55.67488471332204,12.59428841632908
18639,600.0,Indre By,55.68961581550969,12.576568224068033
18640,800.0,Christianshavn,55.67369639407194,12.594532865649194
18641,400.0,Indre By,55.69374850306882,12.578158691510465
18642,1000.0,Indre By,55.68635598522014,12.5704305833379
18643,400.0,,55.67722864159943,12.576015735146338
18646,600.0,Nørrebro,55.69971213295677,12.547442136451044
18647,400.0,Nørrebro,55.69118708522417,12.561791382828215
18648,600.0,Nørrebro,55.695812911953325,12.558460174744804
18649,600.0,Nørrebro,55.70071845013792,12.552960472719828
18650,600.0,Nørrebro,55.70351396040539,12.54784745432051
18651,800.0,,55.688865815350894,12.548382919949086
18652,400.0,Nørrebro,55.69340027732742,12.544748171419954
18653,800.0,,55.68846925066738,12.548786904393339
18654,400.0,,55.697679071384925,12.545560161962873
18655,400.0,København NV,55.69773351776072,12.535370176832485
18657,400.0,,55.705526659286356,12.524401554594785
18659,1000.0,København NV,55.70595687262139,12.531010625765289
18661,200.0,København NV,55.702140988957034,12.529528155409315
18663,400.0,København NV,55.705060502144185,12.52340278091074
18665,400.0,Vesterbro,55.67108079895653,12.554053377950535
18666,800.0,Vesterbro,55.6662869485799,12.555973134679382
18668,400.0,Teglholmen,55.65106288572133,12.550105915538454
18670,1000.0,Vesterbro,55.66953710302735,12.55764013182172
18672,800.0,Vesterbro,55.66891603833182,12.55674383624483
18673,1000.0,,55.66943924373857,12.556109653393245
18674,800.0,Vesterbro,55.670769642301295,12.560073266376715
18675,600.0,Kødbyen,55.66844119429406,12.56197659933739
18676,800.0,Vesterbro,55.66909156698093,12.555393978467107
18677,1000.0,,55.66546748991725,12.547614462092948
18678,800.0,Vesterbro,55.66889842826219,12.550606721779607
18679,800.0,,55.66594341583357,12.545337882374318
18682,400.0,Amager Vest,55.648282068144205,12.611720938935944
18683,800.0,Amager Øst,55.65510274702911,12.632155107675388
18684,400.0,,55.66109626961778,12.602773697856975
18686,800.0,Amager Vest,55.63332057471931,12.582838134422955
18687,800.0,Amager Vest,55.65930541633135,12.604664992133891
18688,600.0,Amager Vest,55.65489836035734,12.598540181074787
18691,800.0,Amagerbro,55.66424022002638,12.616028217438009
18692,600.0,,55.66273013447878,12.604804504489989
18701,800.0,,55.713142540539465,12.510410193307305
18702,800.0,,55.71360080353569,12.513338985347113
18703,800.0,,55.70537228178466,12.492119331418545
18704,200.0,Brønshøj,55.708862105128276,12.454091318025615
18705,200.0,,55.70212269786774,12.487973660485695
18710,400.0,Nyboder,55.6894095226801,12.586862216326509
18712,1000.0,Indre By,55.681843469131366,12.562361260677935
18714,800.0,Indre By,55.682071220622426,12.565153967465088
18715,800.0,,55.67703705243675,12.570025439749868
18717,1000.0,Christianshavn,55.676080976921575,12.599122849997187
18719,800.0,Indre By,55.68141314988371,12.589092575413632
18722,800.0,Indre By,55.68608086352597,12.58547072718117
18725,400.0,Indre By,55.67859324892172,12.574559519978877
18727,800.0,Christianshavn,55.67368016587063,12.59270253721432
18731,800.0,Christianshavn,55.677374053162545,12.597516184485698
18732,1000.0,Christianshavn,55.67423786545782,12.590169828119654
18733,400.0,Christianshavn,55.67459180046843,12.593118341467473
18734,800.0,Indre By,55.68933044812563,12.571113919455385
18736,600.0,Nørrebro,55.69446784852688,12.559135042899928
18738,600.0,,55.686776608836155,12.561055452675333
18739,800.0,Indre By,55.69851906016023,12.537053416162088
18740,400.0,Nørrebro,55.68751015790415,12.546638038965206
18742,800.0,Nørrebro,55.694584785120796,12.542504347864515
18744,800.0,,55.69218149066264,12.543559425607581
18747,600.0,Nørrebro,55.69094950078063,12.55840241668751
18748,600.0,,55.693150093908045,12.544792918212135
18749,400.0,Nørrebro,55.70427375725804,12.546164057913279
18750,400.0,Nørrebro,55.69669298054365,12.541132503763802
18751,400.0,Nørrebro,55.68764074814517,12.562777321448914
18752,400.0,Nørrebro,55.69328223536761,12.55984267725901
18754,400.0,Valby,55.662165585960544,12.517317300961466
18756,600.0,Valby,55.66586390243483,12.508666444031212
18757,800.0,Valby,55.667084154449604,12.49688808471007
18758,200.0,Valby,55.66276776201458,12.48367857680964
18759,600.0,Valby,55.66013396688119,12.520522342165489
18760,600.0,,55.663557530555885,12.519343665578875
18762,600.0,Vesterbro,55.66642923855164,12.554350562559463
18763,600.0,,55.63257271010498,12.574002912347796
18764,1000.0,Amager Vest,55.63416203570788,12.58287489257954
18765,400.0,,55.64228474413017,12.614800068959866
18767,400.0,Vesterbro,55.65043290744562,12.526394832913097
18768,600.0,,55.6666769227073,12.540084594950207
18771,800.0,Islands Brygge,55.665448365701934,12.579174345497096
18772,800.0,Islands Brygge,55.66485578686815,12.581102073183525
18773,400.0,,55.63525419714578,12.574511438588555
18774,800.0,,55.623069669902364,12.572727008757054
18775,400.0,Amager Vest,55.65368253446602,12.602630401388142
18776,800.0,,55.65880096950386,12.569512688454926
18778,400.0,Amager Vest,55.65896658443158,12.600797396226644
18779,400.0,Amager Vest,55.645201623185606,12.598255174007662
18780,400.0,,55.66022752782146,12.618174688314646
18781,400.0,Amager Øst,55.661617468298815,12.615463808539367
18783,800.0,Amager Øst,55.64542468714338,12.624030708363126
